课程名称,选课人数,学校,老师
玩转计算机二级—office高级修炼,12495,内蒙古师范大学,苟燕、王强、刘志国、侯欣舒
嵌入式系统设计,12486,电子科技大学,杨峰
数据库系统（中）：建模与设计,12029,哈尔滨工业大学,战德臣
信息安全技术,11942,哈尔滨工程大学,孙建国、赵国冬、兰海燕
数据库系统原理与开发,11619,电子科技大学,陆鑫、张凤荔、陈安龙
数据库系统（下）：管理与技术,11463,哈尔滨工业大学,战德臣
大学物理（力学）,11356,哈尔滨工业大学,孟庆鑫、韩权
C语言程序设计（下）,11218,北京理工大学,李凤霞、陈宇峰、薛庆、赵三元
深度学习基础,11180,哈尔滨工业大学,刘远超
程序设计基础,11024,哈尔滨工业大学,叶麟、苏小红、赵玲玲
软件工程与软件自动化,10953,北京理工大学,高玉金、王一拙
高级操作系统,10936,清华大学,陈渝
计算机程序设计基础,10802,清华大学,乔林
软件工程,10647,东北大学,张爽
大学计算机基础与应用,10637,燕京理工学院,李丽芬、邵芬红、韩海花、陈晓芳
Linux操作系统分析,10595,中国科学技术大学,孟宁
Python大数据分析,10481,山东大学,崔立真、鹿旭东、潘鹏
计算机网络 Computer Networks,10463,华南理工大学,王昊翔
Linux导论,10340,学堂在线,杰里•库伯斯坦
信息素养-互联网+时代的学习与生活,10224,滁州学院,陈桂林、赵生慧、于春燕、张志勇、徐志红、胡晓静
计算机控制导论,10195,山东大学,李东升
计算机绘图与CAD,10086,大连工业大学,张鹏
信息隐藏技术,9673,长安大学,任帅
北大AI公开课,9670,北京大学,雷鸣
This is AI,9592,学堂在线,IBM Research
智能设备应用开发（基于Android平台）,9366,山东商业职业技术学院,贾连芹、周倩、王军、徐红
计算机绘图,9354,宁波大红鹰学院,涂晶洁
计算机程序设计,9279,国防科技大学,周会平
Python语言程序设计,8585,浙江财经大学东方学院,杨洁、曲著伟、李在伟、周家地、卢永江、应芳琴、廖一星、刘毅、张铭
5G与人工智能,8567,湖北师范大学,胡白燕、王润
设计思维,8477,西安工程大学,刘静伟、孟浏今、厉谦、吴龙、薛媛
程序设计语言（C语言）,8167,湖北职业技术学院,李岚
Python爬虫入门实战,8125,清华大学,饶淙元
高性能计算机网络,8062,武汉理工大学,颜昕
数据挖掘,7961,天津大学,喻梅、王建荣、于健、徐天一、赵满坤、高洁、刘志强
媒体大数据挖掘与案例实战,7685,中国传媒大学,沈浩
计算机基础与应用,7650,云南财经大学,李春宏、徐娟、沙莉、玄文启、沈湘芸、何锋
计算机组成原理,7561,电子科技大学,纪禄平
微电子工艺,7521,哈尔滨工业大学,田丽、王蔚
计算思维导论,6953,广西科技大学,唐培和、徐奕奕
嵌入式系统理论与技术,6368,武汉科技大学,胡威、施青松
万物互联,6265,青海师范大学,杜秀娟
计算思维导论,6258,北京建筑大学,吕橙、万珊珊、邱李华、郭志强
嵌入式系统,6054,华南理工大学,毕盛、汪秀敏、毛爱华、唐杰
游戏程序设计,6029,清华大学,徐力、钟建斌、高璐、孙峻、王毅、兰翔、马若遥、王海龙、乔晨、黄健聪、陈志浩、周轩、赖贵雄、林智超、潘霖、晁阳、唐声福、曾毅、刘洋、陈明建、李波、祝清鲁、赵永伟、肖坚
Web设计与应用,5933,昆明理工大学,潘晟旻、方娇莉、姜迪、郭玲、普运伟、陈榕、张春红、刘领兵、田春瑾、耿植林、黎志
计算机辅助设计,5923,华南理工大学,方利国
“做中学”Java程序设计,5852,宁波城市职业技术学院,郑哲
液晶显示技术,5479,华南理工大学,王丹、姚日晖、郑奕娜
多媒体技术,5461,武汉大学,李晶、涂卫平、常军、陈江汉、韩镇
操作系统原理,5351,西安交通大学,田丽华
青年AI自强计划-计算机视觉课程,5298,清华大学,王明哲
单片机原理及应用,5094,湖北大学,李璋、田茂、姚静、黄汉华
互联网体系结构,4847,中国科学技术大学,孟宁、刘贵学
网络技术与应用实验,4804,中国人民解放军陆军工程大学,俞海英、沈鑫剡、李兴德、许继恒、李杰、张石磊、谢青
物联网概论,4744,清华大学,何源
智能车制作：底盘结构与调试,4731,北京科技大学,杨珏
软件工程,4679,武汉科技大学,张晓龙、刘茂福、赵红武、王磊、高峰
漏洞利用及渗透测试基础,4541,南开大学,刘哲理、张健、李敏、李兴娟、乜鹏
素描与体验——原理与形式研究,4470,西安美术学院,张元稼、刘沛、杨伟孝、董文通、胡涛、李恺
操作系统,4386,东北大学,张伟
Web安全实践,4330,中国科学技术大学,郭燕
EXCEL高级应用,4232,呼和浩特职业学院,王瑾瑜、索丽霞、陈一、吴淑清、王晓静
程序设计技术（基于C）-基础,4071,重庆大学,刘慧君、王茜、陈恒鑫、葛亮、曾令秋、杨瑞龙
智能控制导论,3986,昆明理工大学,刘辉、王彬、李俊丽、詹跃东
智能控制,3814,华北电力大学,黄从智
大数据可视化,3741,浙江大学,陈为、巫英才
操作系统(RISC-V),3336,清华大学,向勇、陈渝
高级语言程序设计,3310,湖北理工学院,祁文青、程细才、谢晋
虚拟现实技术及应用,2986,中国传媒大学,黄心渊、杨刚、孙国玉、李晓波、陈京炜
计算机网络,2967,河南科技大学,郑瑞娟、王琳、肖春宝、张明川、吴庆涛、朱军龙
单片机原理及应用,2921,浙江理工大学,鲍佳
3D游戏引擎架构设计基础,2880,华南理工大学,陈泽琳
计算方法,2682,北京科技大学,张晓丹、郑连存、卫宏儒、沈政伟、丁军
跟着案例循序渐进学习c,2670,山西大学,白妙青、王雪婴、张红艳、萧宝玮、王文剑
数据结构,2621,安徽工程大学,胡平
概率论与数理统计,2616,燕山大学,马占友、吕胜利、马金旺、王春艳、张彦
多媒体技术及应用,2603,华南理工大学,郭芬、林育蓓、陆芳
网络安全技术(上海高校精品课程),2401,学堂在线,贾铁军
PHP程序设计,2195,陕西工业职业技术学院,耿倩、党佳奇、雒江川、李俊、赵革委、蔡苏亚
Code+程序设计大赛习题讲解,2133,学堂在线,清华酒井算协
数据库技术应用,2030,内蒙古电子信息职业技术学院,赵祯、刘刚、孙凤龙、田雪
数据结构与算法,2005,吉林大学珠海学院,吕威、苏清朗、冯广慧、陈群、马蕊、曾志平
计算机是如何实现智能的,1785,清华大学,马少平
